Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",Diode_1N4148-SOD123-reversible-flip3d,20,D,
"H1, H2, H3, H4, H5, H6, H7, H8",Hole_M2-TH,8,MountingHole,
J1,MCU_nice-nano,1,N!N,
J2,Connector_JST-1x02-2.00mm,1,Conn_01x02_Socket,
J4,Display_nice-view,1,Display_nice-view,
"J8, J9",Connector_FFC-12pin-1mm-horizontal,2,Conn_01x12_Socket,
S1,Button_5way-SKRHABE010,1,Button_5way-SKRHABE010,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW3, SW4, SW5, SW6, SW7, SW8, SW9",Switch_ChocV1-hotswap-minY-reversible,20,Switch,
SW21,Button_SW_SPST_SKQG_WithoutStem,1,SW_Push,
SW22,Switch_SPDT-PCM12,1,SW_SPDT,
SW23,RotaryEncoder_EC11,1,RotaryEncoder_Switch,
